5	0.1
 (AFI	:	1
 (nom	b	1
 122 	k	1
 16 d	e	1
 166g	√	1
 2005	.	1
 225 	e	1
 404.	4	1
 6 t√	©	1
 Al i	n	1
 Ciud	a	2
 Colc	h	2
 Colo	n	1
 Cont	e	1
 Desd	e	1
 Dist	r	1
 Dura	n	1
 Ennc	o	1
 Exis	t	1
 Fede	r	2
 Fina	l	1
 Glor	i	1
 II C	o	1
 INEG	I	1
 Las 	e	1
 Los 	m	1
 M√©x	i	4
 Per√	≠	1
 Pobl	a	1
 Por 	o	1
 Prec	l	1
 Sand	e	1
 Se l	o	1
 Wiki	p	1
 XV. 	D	1
 Xoch	i	6
 [ Éo	t	1
 a Wi	k	1
 a la	 	2
 a pe	s	1
 alca	l	1
 algu	n	1
 alim	e	1
 alt√	©	1
 apro	x	1
 avan	c	1
 a√±o	s	1
 cada	 	1
 cato	r	1
 cent	r	1
 cien	t	1
 colc	h	2
 como	 	1
 con 	6	1	e	1
 cono	c	1
 cons	e	1	t	1
 cont	e	1
 corm	o	1
 cual	 	1	e	1
 cult	u	1
 de 1	2	1
 de 4	0	1
 de M	√	4
 de P	o	1
 de X	o	4
 de a	l	1
 de c	o	1
 de d	i	1
 de e	s	2
 de f	i	1
 de l	a	7	o	1
 de o	v	1
 de p	l	1
 de s	e	1	u	1
 de v	a	1
 deea	c	1
 deel	a	1
 deep	l	1
 del 	D	1	a	1	c	1	s	1
 dele	g	2
 dell	D	1	P	1
 desc	o	1
 dist	r	1
 dive	r	1
 e is	l	1
 econ	√	1
 edit	a	1
 el I	I	1	N	1
 el c	u	1
 el m	e	1
 el s	i	1	u	1
 el t	e	2	r	1
 ella	 	1
 ellh	o	1
 en 1	6	1
 en 2	0	1
 en e	l	4
 en p	r	1
 enci	c	1
 encu	e	2
 enti	d	1
 era 	u	1
 es u	n	1
 espe	c	3
 esta	 	2	m	1
 fami	l	3
 fili	a	1
 flor	e	1
 form	a	1
 fue 	s	1
 fuer	o	1
 gen√	©	1
 gine	c	1
 gran	d	1
 g√©n	e	1
 habi	t	1
 herb	√	1
 impo	r	2
 inde	p	1
 indu	s	1
 ind√	≠	1
 inic	i	1
 isla	s	1
 kil√	≥	1
 la C	i	2	o	1
 la d	e	1
 la e	n	1
 la f	a	1
 la m	a	1
 la u	r	1
 la v	i	1
 la z	o	2
 la √	©	1
 laam	a	1
 lacu	s	1
 lado	,	1
 las 	1	1
 libr	e	2
 loca	l	1
